"filename", "language", "Markdown", "Dart", "C++", "JSON", "HTML", "XML", "YAML", "Swift", "CMake", "Properties", "Gradle", "comment", "blank", "total"
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\.vs\CMakeWorkspaceSettings.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\.vs\ProjectSettings.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\README.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 23, 4, 30
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 5, 12, 68
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 4, 1, 10
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 6, 1, 36
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 1, 19
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 9, 1, 23
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 4, 1, 8
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 5, 32
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 5, 21
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\assets\images\Logo.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\assets\images\vietnam.svg", "XML", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 1, 0, 44
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 1, 1, 45
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 1, 27
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\Account_screen.dart", "Dart", 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 6, 130
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\PageOne.dart", "Dart", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 53
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\PageThree.dart", "Dart", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 101
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\PageTwo.dart", "Dart", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 52
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\app_bar.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\app_bar_container.dart", "Dart", 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 157
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\app_style.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\book_now.dart", "Dart", 0, 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 179
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\book_screen.dart", "Dart", 0, 887, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 902
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\bottom_bar_states.dart", "Dart", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 56
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\components\account_settings.dart", "Dart", 0, 278, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 286
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\components\account_support.dart", "Dart", 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 196
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\components\date_ext.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\components\detailed_trip_details.dart", "Dart", 0, 330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 348
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\components\location_search_autocomplete_fields.dart", "Dart", 0, 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 180
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\components\no_trips.dart", "Dart", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 61
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\components\profile.dart", "Dart", 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 128
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\components\search_places.dart", "Dart", 0, 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 203
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\components\select_date_screen.dart", "Dart", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 81
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\components\trip_details.dart", "Dart", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 119
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\components\update_user.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 37
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\confirm_booking_room.dart", "Dart", 0, 347, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 364
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\confirm_booking_room_1.dart", "Dart", 0, 352, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 10, 370
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\confirm_booking_room_bac_lieu.dart", "Dart", 0, 344, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 363
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\constants\app_constants.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 40
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\constants\custom_textfield.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 57
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\core\constants\color_palatte.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\core\constants\dimension_constants.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\core\constants\textstyle_ext.dart", "Dart", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19, 88
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\core\extensions\date_ext.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\core\extensions\num_ext.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\core\extensions\string_ext.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\core\helpers\asset_helper.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 44
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\core\helpers\image_helper.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 41
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\core\helpers\local_storage_helper.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 28
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\core\helpers\size_config.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\core\logging\logger.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 17
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\custom_btn.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\custom_outline_btn.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 42
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\dash_line.dart", "Dart", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 41
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\data\model\hotel_model.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\data\model\room_model.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\guest_and_room_screen.dart", "Dart", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 65
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\height_spacer.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\home_screen.dart", "Dart", 0, 554, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 568
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\hotel_booking_screen.dart", "Dart", 0, 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 11, 242
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\item_button_widget.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\item_change_guest_and_room.dart", "Dart", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 115
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\item_hotel_widget.dart", "Dart", 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 137
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\item_intro_widget.dart", "Dart", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 60
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\item_options_booking.dart", "Dart", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 61
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\item_room_widget.dart", "Dart", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 111
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\item_utility_hotel.dart", "Dart", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\login.dart", "Dart", 0, 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 195
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\lib\login_provider.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
